video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=iFPokf8mwPk&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@crashcourse,CrashCourse,What is Urban Planning? Crash Course Geography #47,167K,1 year,Today we're going to talk about urban planning — which is the design and regulation of space within urban areas. Urban ...,2024-01-24 03:17:07.660374
/watch?v=HdW1-guocPA&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@MindTheMap,Mind The Map,The difference between Urban Planning and Urban Design explained in 100 seconds,33K,10 months,Let's once and for all figure out the difference between Urban Planning and Urban Design. It's more complicated than you might ...,2024-01-24 03:17:07.663707
/watch?v=xVB1qMttC1I&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@OneNewsPH,One News PH,Urban planner discusses plans for Pasig River Esplanade,23K,1 day,"... about the Pasig River Esplanade, which is part of the Marcos administration's Pasig River Urban Development (PRUD) project.",2024-01-24 03:17:07.666992
/watch?v=HBMlQZeXMiA&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@DWDocumentary,DW Documentary,Future cities: Urban planners get creative | DW Documentary,561K,1 year,Will the cities of the future be climate neutral? Might they also be able to actively filter carbon dioxide out of the air? Futurologist ...,2024-01-24 03:17:07.674372
/watch?v=CLjqGwo5QaA&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@AdamSomething,Adam Something,Why Superblocks Are Peak Urbanism,737K,2 years,"It even sounds like a WWE event, so maybe Americans will also be on board with it. Check out my Patreon: ...",2024-01-24 03:17:16.500097
/watch?v=IFjD3NMv6Kw&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@TED,TED,7 principles for building better cities | Peter Calthorpe | TED,2.2M,6 years,"More than half of the world's population already lives in cities, and another 2.5 billion people are projected to move to urban areas ...",2024-01-24 03:17:16.503408
/watch?v=ehnGiygPw2k&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@CityBeautiful,City Beautiful,Can Infill Development Save Cities?,381K,4 months,"Vacant lots and underused parking lots can be redeveloped into housing, offices, shopping and more. When that happens, the ...",2024-01-24 03:17:16.505801
/watch?v=2Q5bICcek6s&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@CityBeautiful,City Beautiful,A Brief History of U.S. City Planning,1.1M,4 years,"500+ years of history in 15 minutes. I'm sure I didn't miss anything! 1. Rodriguez, Roberto. (2005) The Foundational Process of ...",2024-01-24 03:17:16.515527
/watch?v=_5ot_1tbQX8&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@UMTaubmanCollege,UMTaubmanCollege,What Is Urban Planning?,159K,8 years,What is Urban Planning to you? Share your thoughts with us at facebook.com/agoraplanningjournal Created by: Dan Sommerville ...,2024-01-24 03:17:16.517806
/watch?v=gijPfyNXAt8&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@skyrealtors,Sky Realtors,Urban City Lahre | Latest Development Update | 3 & 5 Marla Plots #skyrealtors,111,1 day,URBAN CITY LAHORE NEW BLOCK CITY VENTURE 3.5 Year Pocket Friendly Payment Plan 3 Marla Booking ...,2024-01-24 03:17:16.520078
